"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agentRegistry.js", "JavaScript", 18, 0, 0, 1, 19
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\calendar.json", "JSON", 0, 13, 0, 1, 14
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\calendarAgent.js", "JavaScript", 79, 0, 0, 18, 97
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\calendarAgentPrompt.js", "JavaScript", 119, 0, 0, 18, 137
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\calendarClient.js", "JavaScript", 13, 0, 0, 4, 17
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\tools\addNotification.js", "JavaScript", 13, 0, 0, 1, 14
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\tools\checkEvent.js", "JavaScript", 7, 0, 0, 1, 8
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\tools\deleteEvent.js", "JavaScript", 7, 0, 0, 1, 8
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\tools\listEvents.js", "JavaScript", 12, 0, 0, 1, 13
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\tools\newEvent.js", "JavaScript", 10, 0, 0, 1, 11
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\tools\updateEvent.js", "JavaScript", 22, 0, 0, 5, 27
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\index.js", "JavaScript", 3, 0, 0, 0, 3
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\noteAgent.js", "JavaScript", 66, 0, 0, 18, 84
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\noteAgentPrompt.js", "JavaScript", 154, 0, 0, 19, 173
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\patientAgent.js", "JavaScript", 66, 0, 0, 18, 84
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\patientAgentPrompt.js", "JavaScript", 179, 0, 0, 19, 198
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\tools\notes.js", "JavaScript", 25, 0, 0, 7, 32
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\tools\patients.js", "JavaScript", 26, 0, 0, 7, 33
